"","nom","nb_arbre","duree","nb_jour","poi_count","ligne_count","poly_count"
"125","sidjy",908,764,9,16862,1211,88836
"126","Al-Hun",893,2057,74,9880,553,5773
"127","Vinber-Num&Lib",883,1311,67,2401,21,1683
"128","Ltrlg",860,505,15,1744,206,565
"129","FloSka",858,571,41,3635,634,2465
"130","Ludovic Drouard",855,2056,68,20784,6806,5884
"131","jean_bernard",831,1388,3,1365,1,1264
"132","the_knife",807,1771,70,28669,965,112765
"133","Nicole84",804,844,57,2765,33,3033
"134","feth",773,1583,46,2255,78,1339
"135","Grenoble38",750,629,33,1417,25,1004
"136","kritic",743,2694,66,11827,5769,64020
"137","Alex17350",742,194,30,819,25,427
"138","user_16881",739,2126,81,2408,225,4775
"139","JÉT",735,658,80,4519,763,2716
"140","CapitaineMoustache",728,1085,32,9951,606,7753
"141","Globeur",707,315,22,925123,10792,24114
"142","InfosReseaux",704,755,34,154201,334,11206
"143","StephaneP",697,2272,88,15991,4973,58228
"144","Zigeuner",695,2042,46,4871,921,3704
"145","BotaFlo64",685,927,25,1032,67,1178
"146","windu2b",681,1999,33,16447,1701,30417
"147","Kioska Journo",671,2186,89,75877,3723,358960
"148","Ptigrouick",667,2823,51,49368,1280,204052
"149","TooM",667,2654,29,1985,52,92709
"150","Alexvalallan",664,830,21,2387,292,3522
"151","Denis_Helfer",662,2627,25,340935,28041,614947
"152","Moissac",661,833,20,1157,35,2368
"153","goodidea",650,2091,76,3972,114,2332
"154","djo_man",646,2567,42,14382,580,32600
"155","Carto'Cité",640,578,24,6253,939,1289
"156","corentinlemaitre",640,600,13,1000,136,366
"157","Romainbou",628,748,28,901,20,1125
"158","mapper999",626,1162,7,1607,1007,297
"159","davidwe1",625,18,4,630,1,415
"160","nemo-xx",621,367,23,667,6,1077
"161","FrShaft",617,1002,49,13848,176,4507
"162","SHARCRASH",609,1366,80,3378,1055,9104
"163","PierreV",608,2375,8,1919,198,13239
"164","Britzz",605,299,14,2124,31,560
"165","althio",603,1170,11,1137,30,519
"166","juju14",599,266,7,681,16,319
"167","Gabrielle84",595,321,24,885,4,101
"168","mathdatech",594,2060,31,11184,367,69231
"169","meihou",579,2246,149,13638,545,112828
"170","Dilys",572,524,42,4364,671,19454
"171","Fafane",571,1699,22,1041,2,522
"172","Greteck",566,958,22,6940,185,27389
"173","WaAny",566,333,11,978,3,582
"174","Violaine_Do",565,0,1,574,0,19
"175","Gnafron",563,1066,26,2285,277,3308
"176","ahmster",561,888,3,11205,167,52547
"177","Jacques Lys",561,950,3,3428,426,113419
"178","Gall",560,2519,29,2119,57,2311
"179","VOBULE",556,870,9,877,1,287
"180","W0lle",555,743,16,838,4,764
"181","pays_gcn",548,550,9,805,5,829
"182","Guillaume017",546,339,33,1007,45,657
"183","Sergii_Tutashkonko",543,68,13,636,1,321
"184","papyrus048_Intégration_cadastre",535,92,5,1670,295,25703
"185","ITSB",534,1891,17,1297,267,516
"186","Jakka",532,1022,22,3050,369,12455
"187","Pierre TOUZARD",525,749,21,1693,178,12528
"188","Cdrik_69",524,394,39,2099,184,3219
"189","pasq_fr",516,390,26,2493,134,3524
"190","Khomille",503,551,43,3784,155,3097
"191","ccda",495,2045,25,3708,69,10439
"192","gendy54",495,1468,29,7082,573,40016
"193","cabinetcourbi",490,430,22,5230,924,3910
"194","Dévé",488,30,10,522,0,358
"195","Patchi",488,2237,25,5716,928,16008
"196","cafecho",485,727,90,4857,868,13601
"197","glglgl",485,1591,20,1562,745,1460
"198","fransoo",480,2324,108,3007,945,40115
"199","Benoît Prieur",478,1560,59,2445,6,2442
"200","lluc",478,3539,41,4553,189,41181
"201","FRichard44",469,1234,13,61478,1561,21300
"202","BikerBiker",466,83,22,908,154,1214
"203","Papa-Yankee-Bzh",463,396,22,2626,215,5253
"204","ryra6453",461,2636,20,9665,477,30982
"205","Fabien67",460,207,24,822,182,701
"206","JacquesL",456,501,22,4505,100,1284
"207","Laurent93",455,82,5,1283,292,619
"208","Papilli",452,1920,20,487,1,210
