"","nom","nb_arbre","duree","nb_jour","poi_count","ligne_count","poly_count"
"589","patzub",71,0,1,166,0,48
"590","Sovxx",71,1250,8,1764,3331,722
"591","Valkour",71,853,3,3181,113,1481
"592","Bandino",70,20,6,118,14,275
"593","emj",70,0,1,71,0,22
"594","hugorthomas89",70,2,2,92,29,14
"595","JBDSB",70,562,13,1409,131,2239
"596","thomas Ailhaud",70,720,5,405,59,224
"597","didier2020",69,917,3,5594,3481,1201049
"598","Jepau",69,1408,6,12282,238,258249
"599","Lemente",69,155,4,276,6,249
"600","maps10",69,1,2,128,3,5439
"601","mk13",69,60,2,83,0,16
"602","sebastien31",69,0,1,1122,61,26557
"603","Sldomino",69,474,2,78,4,112
"604","TheMrNomis",69,0,1,71,0,53
"605","Tony VINCENT",69,1565,3,137,0,151
"606","jannes mck",68,0,1,110,0,27
"607","jc67",68,108,3,703,10,1378
"608","Julien39",68,355,12,1015,133,669
"609","ndecaris",68,316,4,2062,244,35616
"610","Maailma",67,13,2,105,0,20
"611","maction",67,1228,4,1038,28,919
"612","Alexandre Pliarchopoulos",66,0,1,243,2,166
"613","BoumTAC",66,405,6,746,98,156
"614","gilbert Aeschelmann",66,2248,38,5181,1366,98108
"615","GautierPP",65,1144,11,17922,6108,523123
"616","Hugo ROTA",65,2,3,258,12,75
"617","leo-paul",65,0,1,71,92,1007
"618","wiso",65,1646,4,179,0,115
"619","Yann_L",65,443,17,1360,100,59
"620","Ecogarde",64,0,1,67,0,0
"621","foxandpotatoes",64,2187,6,1794,489,18152
"622","Jan-MARCHAND",64,1,2,69,0,9
"623","lumi81",64,30,3,266,62,17178
"624","Mathieu MD",64,1956,9,883,77,1160
"625","robbieonsea",64,767,10,333,14,73
"626","stibe",64,1163,3,8400,3,10020
"627","Tankeven",64,1,2,64,0,2
"628","Matthieu 37",63,147,8,291,7,647
"629","TitanGIS",63,0,1,70,0,7
"630","Yoyo3071a",63,6,3,1006,52,243
"631","Bibliothèque Vaclav Havel",62,705,4,105,0,28
"632","Lucas Jean-Jacques",62,0,1,62,1,7
"633","Matthieu Bessat",62,118,11,505,24,389
"634","NicolasDumoulin",62,1588,13,6742,479,64115
"635","paysages",62,1031,12,925,13,341
"636","Lyon-St-Clair",61,18,5,291,296,596
"637","bebbi",60,0,1,80,0,31
"638","Capello13",60,861,5,8223,2449,4116
"639","Gabiche",60,142,4,65,0,55
"640","guilieb",60,1507,8,362,9,757
"641","maurice2010",60,2264,2,143,0,100
"642","oligo",60,1279,6,2594,131,1696
"643","r2d",60,255,2,5028,267,2423
"644","Walter Schlögl",60,1979,6,1037,252,462
"645","hno2",59,936,2,83,2,297
"646","Iuiliain",59,98,3,444,35,1014
"647","Kiliann B",59,1,2,77,1,77
"648","MaxSan",59,0,1,92,0,9
"649","arnaudlecam",58,66,3,2911,0,961
"650","Dominique Mode",58,49,2,138,0,26
"651","edhelas",58,3,3,114,0,24
"652","Syl",58,2770,20,3527,148,20685
"653","bobo_plateau",57,1416,6,270,34,1320
"654","FahRadler",57,762,11,12132,496,35038
"655","Lupercos",57,400,3,199,94,236
"656","Sebik99",57,0,1,69,1,37
"657","Guillaume Mortier",56,412,16,15437,2468,6944
"658","ralevy",56,559,3,544,24,269
"659","Michel Caleb",55,83,3,86,2,26
"660","Pitouille",55,797,3,241,3,154
"661","Raphink",55,260,4,266,20,147
"662","Baxe Nafarroa",54,185,4,125,7,130
"663","Crillon-le-Brave",54,10,5,227,7,212
"664","GilB",54,1513,7,3015,60,1002
"665","gus-tave",54,0,1,89,0,62
"666","Quentin Goulas",54,32,2,94,17,30
"667","sda44",54,924,2,820,32,1359
"668","Vinze",54,607,3,81,3,61
"669","aetherman",53,273,4,2186,677,612
"670","Couannetine",53,163,4,609,17,1261
"671","deprado63",53,216,6,89,4,118
"672","fmiet",53,1262,16,1937,128,9266
"673","kwiky",53,545,6,3929,81,10381
"674","PierreGranjon",53,610,4,113,0,92
"675","user_5359",53,1740,4,252,1,453
"676","yvecai",53,1029,2,168,6,3266
"677","mavOsaure",52,1658,12,1671,500,39805
"678","nezo90",52,3,2,159,3,30
"679","Yalio",52,1607,10,2215,242,16088
"680","Arsène",51,1127,6,140,17,245
"681","Chantal Arruti",51,0,1,108,5,45
"682","Farfaseb",51,105,5,158,21,292
"683","Gael de Sailly",51,1086,6,457,467,1293
"684","liozone",51,38,8,247,12,930
"685","Yoann",51,0,1,156,182,941
"686","bebone",50,0,1,64,0,12
"687","Emilie_P",50,0,1,86,0,1
"688","Frédéric Gutkin",50,24,5,161,18,432
"689","jmjol",50,790,6,2068,182,68373
"690","Moretto25",50,0,1,90,0,31
"691","neocarto",50,841,9,439,22,92
"692","Rīcohard",50,1,2,87,1,70
"693","jweste",49,0,1,49,0,12
"694","Matthias Frank",49,1165,7,222,4,140
"695","projecter63",49,364,4,170,3,192
"696","Xinfe",49,557,2,736,61,15836
"697","alxcP",48,477,3,209,67,150
"698","cucu",48,333,2,48,0,73
"699","poivronvertbleu",48,1014,3,91,7,54
"700","schnufti",48,1,2,55,0,1
"701","AymericG",47,1,2,3019,22,91
"702","Bison Futé",47,15,2,58,4,75
"703","CDLO",47,112,2,63,26,100
"704","Cestadais",47,70,3,264,55,692
"705","Doch",47,13,2,116,0,44
"706","jippo",47,260,3,283,80,60396
"707","lachambre",47,660,5,59,4,28
"708","lann",47,1340,16,2162,840,111353
"709","Léa226",47,0,1,55,0,31
"710","Rafaeelbedna",47,109,2,72,38,671
"711","rurseekatze",47,47,2,487,735,153
"712","Dasrakel",46,1055,4,78,5,763
"713","josmougn",46,1340,32,8950,662,2998
"714","Koukoubagia",46,0,1,47,0,6
"715","Lulucmy",46,177,5,71,6,60
"716","Sylv1C",46,0,1,522,6,977
"717","Ano59",45,45,6,2618,233,12713
"718","cepesko",45,459,2,50,16,16
"719","Haptomai",45,0,1,588,5,7972
"720","Lenezir",45,1211,7,287,35,711
"721","Paul Mariuzzo Raynaud",45,787,6,268,63,2326
"722","Balaïtous",44,2084,2,6197,932,6074
"723","DonCo106",44,1,2,46,0,39
"724","françoish",44,0,1,1271,170,1081
"725","maphnsj",44,1284,5,2764,59,2433
"726","Mayeul",44,469,2,94,6,136
"727","MCLolo",44,198,3,59,0,13
"728","Neil Dewhurst",44,1668,6,1362,113,566
"729","simlio",44,0,1,5960,564,283282
"730","furax37",43,902,2,490,3,1274
"731","Henri97",43,2917,6,72,3,245
"732","peyot",43,1497,14,2288,144,17101
"733","sakdosse",43,0,1,958,9,1667
"734","AlexBellwald",42,0,1,66,0,11
"735","Carto_des_bois",42,1,2,98,2,13
"736","dr_grijando",42,271,4,342,2,245
"737","jstein",42,0,1,46,0,10
"738","Juraastro",42,442,2,115,41,220
"739","scottypro63",42,0,1,43,0,1
"740","sigsi",42,0,1,48,0,2859
"741","TiffBu",42,1,2,52,2,45
"742","zorglubu",42,116,5,1505,319,3331
"743","AmauryPi",41,208,3,51,0,68
"744","ArticCynda",41,616,5,77,1,675
"745","Cocodubono",41,0,1,47,1,11
"746","courdi95",41,16,6,839,2,1491
"747","izpura",41,838,10,302,11,551
"748","jebins",41,0,1,48,1,25
"749","lesallea",41,0,1,41,0,2
"750","user_2693181",41,175,8,716,218,291
"751","AlexBell",40,11,2,54,0,5
"752","antoineg",40,0,1,609,21,33603
"753","badpap",40,1820,3,583,2085,136893
"754","bolikahult",40,542,2,113,12,66
"755","Florian_G",40,1229,10,17701,1130,45653
"756","Frédéric Bonnet",40,0,1,43,0,10
"757","Frédéric de Flaugergues",40,6,3,149,7,647
"758","LudovicG",40,2307,9,958,129,233
"759","pierrelm",40,655,3,460,0,4481
"760","quicou 17180 ev",40,0,1,51,0,51
"761","Trouillas Léo",40,0,1,40,1,0
"762","ueliw0",40,597,2,196,45,415
"763","wasabibi37",40,0,1,42,0,0
"764","Xiphos",40,42,7,121,12,227
"765","Ayack",39,277,4,129,3,385
"766","bagnolais",39,648,13,627,172,6433
"767","BCAHIER",39,0,1,39,0,0
"768","Jeece",39,8,5,5233,161,494
"769","linusable",39,2165,2,96,0,94
"770","Praet Tri-Men",39,56,4,301,34,1585
"771","Service PHS",39,0,1,43,0,9
"772","thiol",39,237,4,150,14,527
"773","Alekso42",38,42,5,267,56,1470
"774","Bernard59118",38,1822,8,5912,3040,23501
"775","Bert Araali",38,0,1,77,1,121
"776","chloe_breizh",38,193,3,40,8,227
"777","Crillon-Le-Brave",38,2,3,70,0,10
"778","homer__simpsons",38,35,8,3452,231,9930
"779","Karo-line",38,0,1,38,0,5
"780","Mathias_V",38,234,10,2510,977,1976
"781","stedewa",38,1435,5,381,29,199
"782","Talimyaro",38,48,4,84,2,366
"783","Balooval",37,1946,15,24883,716,91640
"784","BrunoRemy",37,284,4,123,2,99
"785","Cédric F",37,44,6,117,23,222
"786","ferrero2",37,2,2,51,2,9
"787","foggy67",37,848,20,1452,68,323
"788","Kenairod",37,24,3,801,2,298
"789","Lui80",37,0,1,39,0,0
"790","Mario1952",37,4,3,37,3,40
"791","PipoCanaja",37,1081,10,558,112,9054
"792","ZephyroX",37,16,3,54,0,31
"793","arx",36,22,2,44,2,12
"794","donovaly",36,147,6,533,62,551
"795","Frank314",36,373,3,419,64,305
"796","gaspardedd",36,9,2,38,0,5
"797","isnogoud",36,294,4,140996,378,452850
"798","LionelB",36,2250,2,67,3,726
"799","mangeur 🇨🇭",36,25,5,71,0,1
"800","melliemellie",36,0,1,36,0,0
"801","teeta",36,0,1,46,0,0
"802","ZebulonT",36,669,6,80,0,173
"803","antecessor",35,31,3,66,4,25
"804","deuzeffe",35,190,4,3284,94,2916
"805","GeraldChatagnon",35,792,2,307,8,48737
"806","kdom",35,15,4,101,3,133
"807","Louis Symoneaux",35,0,1,222,5,128
"808","Lyokoï",35,0,1,35,1,12
"809","MatthieuMartin",35,641,6,3646,266,1962
"810","Modimir",35,4,3,47,0,16
"811","Rom3745",35,0,1,680,7,702
"812","Thierry_la_Fronde_12",35,1490,12,1152,445,7511
"813","axx",34,9,3,417,0,62
"814","Bastien Zigmann",34,254,10,73,0,0
"815","Corneliux",34,1470,3,518,24,10698
"816","Daanvr",34,0,1,43,3,105
"817","HolgerJeromin",34,1057,3,185,0,113
"818","laurent-38",34,334,13,5506,2676,3778
"819","lesko987",34,0,1,55,1,29
"820","Martial BACQUET",34,0,1,158,29,172
"821","Nitram",34,2,2,230,0,50
"822","Pirrote",34,170,8,560,22,3439
"823","tiguillom",34,0,1,307,11,23
"824","William Desportes",34,4,2,806,64,988
"825","chuck95",33,36,3,99,1,72
"826","CloPontduch",33,1757,8,245,35,478
"827","fal7i",33,430,3,302,12,80
"828","Julientroploin",33,2009,3,72,0,115
"829","Roancellilee",33,3,2,94,9,81
"830","Sendi Grandel",33,1,2,35,0,5
"831","TripleBee",33,1042,6,13999,18989,761
"832","Weegle",33,1,2,37,0,40
"833","Benoît Blanc",32,0,1,32,0,3
"834","BrunoC",32,1666,3,9917,260,294002
"835","Crillion-Le-Brave",32,2,3,138,0,22
"836","DSTPTF4",32,223,3,33,0,8
"837","dwausr",32,0,1,113,11,607
"838","eric6quatre",32,40,4,61,2,84
"839","Fabsss",32,3,2,242,49,764
"840","hxwiki",32,3,2,35,0,22
"841","jcoupey",32,480,3,240,2,27
"842","jf_simon",32,0,1,114,1,39
"843","JulienM",32,443,2,239,5,33503
"844","Mellisuga",32,4,2,286,25,161
"845","ottl",32,0,1,32,0,3
"846","Thibaut Degorre",32,0,1,93,0,19
"847","azoth36",31,0,1,40,0,4
"848","Guyou",31,2661,10,1144,20,3716
"849","jnsp",31,32,6,914,2,1093
"850","julien76100",31,0,1,57,134,16964
"851","numide",31,367,3,86,6,421
"852","rezemika",31,469,7,835,11,357
"853","Wikilux",31,739,3,78,21,716
"854","Benjidevedas",30,458,11,600,92,1378
"855","docschenk",30,0,1,579,496,410
"856","FKDH1",30,0,1,30,0,12
"857","giggls",30,0,1,47,0,10
"858","PanierAvide",30,2176,18,152238,1062,136651
"859","Pinpin",30,1557,3,14577,1980,177389
"860","SBL1980",30,189,6,195,114,538
"861","Sylvain M",30,1323,13,698,81,1841
"862","Vincent Génin",30,0,1,4148,5,163
"863","CC Billom Saint-Dier Vallée du Jauron",29,0,1,118,4,43
"864","Christophe Mathieu",29,0,1,41,9,41
"865","Écolouise",29,1215,4,123,4,99
"866","Grichka",29,5,2,37,0,94
"867","Sardon29",29,2085,4,1972,316,32205
"868","scaalmap",29,1177,12,746,108,1662
"869","Silvyn!",29,1874,4,233,2,128
"870","tguylyon",29,0,1,30,0,0
"871","Adam Pugliese",28,0,1,35,0,10
"872","Appirit",28,1155,3,983,108,2247
"873","cretinus alpinae",28,85,2,316,46,91
"874","ElementW",28,325,5,636,31,707
"875","Formation_Tiriad",28,2,3,58,0,14
"876","guillaumevalentin",28,0,1,32,0,3
"877","jgc",28,109,2,168,5,872
"878","KaiPankrath",28,0,1,601,126,550
"879","Le Ruthénois",28,1566,20,918,51,458
"880","lucieCQ",28,15,3,28,0,145
"881","roger2villes",28,0,1,46,0,8
"882","yoko99",28,164,4,27160,1543,138608
"883","Zubbel",28,4,3,67,1,188
"884","bao_",27,0,1,64,0,40
"885","Buève",27,49,2,57,0,6
"886","FlorianGhoris",27,113,6,178,7,188
"887","Kikiwiin",27,0,1,30,0,9
"888","Max3786",27,0,1,104,1,80
"889","thibautRe",27,903,5,274,3,1024
"890","thibdrev",27,429,6,6108,958,4938
"891","xrt",27,20,6,1587,30,75
"892","Benoît Monin",26,17,2,291,34,7241
"893","cfogel",26,20,3,93,11,372
"894","ClermontCo SIG",26,1,2,26,0,0
"895","eggie",26,1123,6,757,67,422
"896","fred63",26,305,2,221,12,2866
"897","Herelix",26,0,1,304,16,1206
"898","jpierre03",26,396,3,189,0,87
"899","kevinlornage",26,0,1,26,0,0
"900","MahTriX",26,0,1,47,0,122
"901","mk67",26,0,1,228,91,1380
"902","MPBS",26,578,4,57,13,52
"903","NootNooter",26,0,1,533,18,976
"904","P JDB",26,0,1,363,72,169
"905","rbm42",26,0,1,26,0,0
"906","SlowRider",26,2778,8,919,0,89
"907","tclaret",26,5,2,58,3,2418
"908","AngelGTi",25,421,2,54,4,9
"909","Creator13",25,72,7,322,17,756
"910","Dhyd",25,381,12,2105,327,7636
"911","fgouget",25,809,4,9267,852,2386
"912","filot",25,390,2,32,3,459
"913","Franckyidf",25,23,2,63,0,30
"914","kumy",25,0,1,820,27,1177
"915","Nervang",25,0,1,39,4,548
"916","No13",25,673,5,143,22,273
"917","nrjfmr",25,1313,6,237,31,57749
"918","Olivyeahh",25,4,2,44,0,66
"919","PirBoazo",25,0,1,40,1,51
"920","regis85",25,239,3,744,135,666
"921","rusefkuma",25,23,5,363,46,611
"922","species",25,0,1,615,5,95
"923","Vietwoojagig",25,1496,3,34,1,49
"924","Vincent Dechenaux",25,121,3,760,330,6209
"925","westnordost",25,1,2,129,109,87
"926","WizHard",25,0,1,38,0,8
"927","ADGRD",24,0,1,25,0,7
"928","antastew",24,0,1,25,0,13
"929","Azebleu",24,0,1,24,0,1
"930","ced78fr",24,825,2,112,2,65
"931","Cypouz",24,317,4,168,32,465
"932","gerdami",24,0,1,62,6,331
"933","LEZF",24,0,1,24,0,0
"934","padvinder",24,782,7,93,15,443
"935","pingoo",24,1827,4,751,166,57779
"936","pvk",24,378,3,27,0,8
"937","vcalame",24,0,1,198,17,749
"938","Arckedon",23,0,1,26,0,157
"939","B_Piguet",23,465,2,430,70,783
"940","cartomancer",23,1100,2,27,0,10
"941","Ciseur68",23,0,1,677,128,136
"942","fx99",23,1099,2,49,98,1054
"943","JeanmiR",23,213,4,36,2,167
"944","leclercjules",23,257,2,24,0,33
"945","miscosm",23,0,1,252,11,157
"946","mobik4",23,21,5,31,0,7
"947","Splak",23,468,3,378,14,43
"948","BOSSFANTA",22,0,1,24,0,13
"949","brocoli",22,48,5,201,93,228
"950","ecmarsden",22,0,1,1019,540,275238
"951","floeschen",22,0,1,26,2,1
"952","gbassiere",22,799,4,1462,8,581
"953","greywalker",22,1,2,277,5,301
"954","Helem",22,0,1,87,18,141
"955","Horbas",22,38,3,40,0,2
"956","Inkey",22,15,5,274,34,8157
"957","Jeff_",22,0,1,248,7,31
"958","Justina LA",22,0,1,22,0,8
"959","literan",22,0,1,72,1,19
"960","Matthieu Gaudé",22,0,1,37,0,226
"961","obi76",22,406,2,38,8,446
"962","Philippe Pary",22,256,3,267,3,3402
"963","qwertygc",22,295,3,44,45,131
"964","Ralfhar",22,6,2,74,2,31
"965","spadini",22,1,2,676,0,296
"966","Tigrou Bilout",22,0,1,55,35,534
"967","umi-bozu",22,1,2,64,0,3
"968","Vitali Luca",22,0,1,25,0,193
"969","1r-2m",21,111,2,43,6,5
"970","Jafabe",21,579,4,44,9,45
"971","Jeffdelonge",21,14,2,23843,928,60563
"972","Julien Puig",21,0,1,25,0,0
"973","Manuel Eichenberger",21,2,2,44,0,7
"974","Marie Martre",21,0,1,24,0,2
"975","Nico3646",21,12,2,28,0,215
"976","nw520",21,269,4,1824,148,486
"977","pokomams",21,448,3,8307,98,3138
"978","tawuzoda",21,0,1,29,0,27
"979","user3232",21,0,1,36,3,105
"980","vincent_95",21,1920,10,29345,4270,176172
"981","vincentxavier",21,896,3,1344,157,53421
"982","violette",21,312,2,43,0,76
"983","@kevin_bullock",20,0,1,20,0,8
"984","andrewpmk",20,895,4,2214,167,1146
"985","apple93390",20,74,3,506,23,346
"986","barbecue",20,0,1,23,0,1
"987","benjaminfrin",20,0,1,21,0,160
"988","Breizh182",20,852,4,259,9,372
"989","Camilleh9",20,0,1,112,1,4
"990","CepVingraunais",20,215,4,222,19,603
"991","electropat",20,831,3,55,1,78
"992","ess",20,0,1,24,0,0
"993","frodrigo",20,2931,7,20176,1399,26014
"994","Gaetanl",20,142,2,31,0,60
"995","Gontzal",20,0,1,20,0,122
"996","Jenseblume",20,109,5,40,4,202
"997","johsin18",20,467,6,3494,106,3460
"998","M!dgard",20,1243,4,650,162,290
"999","Nimaj",20,0,1,37,0,1
"1000","Noframe",20,1142,5,106,4,203
"1001","osm-esa",20,0,1,20,0,4
"1002","smaprs",20,0,1,20,0,8
"1003","smendiza",20,0,1,20,0,0
"1004","Tim Morley",20,0,1,153,2,91
"1005","Ufal",20,477,11,1803,11,743
"1006","vlb44",20,1372,5,65,0,40
"1007","wikijoe",20,2,2,58,16,109
"1008","Youli1",20,1827,4,70,4,137
"1009","@5M-user",19,1165,4,170,0,26
"1010","Abeilard14",19,366,4,79,0,45
"1011","achim becker",19,0,1,275,5,4983
"1012","airv",19,1240,14,807,195,1984
"1013","Alexis de Lattre",19,0,1,886,0,848
"1014","beeboo",19,542,5,20,0,1988
"1015","Captcha42",19,97,2,29,4,10
"1016","Central America",19,1,2,26,1,37
"1017","dcp",19,3,2,528,1,176
"1018","ginette",19,91,2,68,0,10
"1019","GregOrevo",19,122,2,25,0,4
"1020","Hapja",19,0,1,25,0,15
"1021","Juju08lf",19,14,2,239,119,284
"1022","KartoGrapHiti",19,0,1,198,26,240
"1023","leosw",19,367,4,197,27,1419
"1024","llebegue",19,0,1,21,0,0
"1025","Martin Borsje",19,630,3,82,16,247
"1026","Mat22",19,0,1,38,5,68
"1027","Ocirne94",19,719,5,425,22,946
"1028","PEREIRA ISA",19,29,4,136,0,19
"1029","Peter 111",19,2080,8,17309,170,55682
"1030","proximab",19,204,9,37,1,1456
"1031","Rigomap",19,10,2,89,11,41
"1032","roptat",19,811,4,6789,257,3375
"1033","Shoe Puppet",19,157,4,123,31,80
"1034","Sibo Dolem",19,0,1,21,0,4
"1035","sulagaloh",19,139,3,117,25,2279
"1036","taeradan",19,1219,3,118,0,53
"1037","Thomas CRESTEY",19,0,1,31,0,38
"1038","user44",19,0,1,19,0,0
"1039","xuppra",19,0,1,20,2,15
"1040","Yves-LG",19,1,2,172,29,881
"1041","_Arkeen_",18,0,1,18,0,2
"1042","Agaric",18,1884,10,8480,115,3655
"1043","ANMON",18,0,1,123,0,26
"1044","Anthony PHILIBERT",18,0,1,18,0,19
"1045","benjix",18,0,1,21,0,239
"1046","Chorons",18,68,7,99,14,333
"1047","Dr ReVeRIES",18,0,1,18,0,0
"1048","DST-Noyarey",18,203,7,31,0,98
"1049","E2i_ESGT_groupe4",18,39,2,21,0,49
"1050","fmorel",18,294,2,3139,611,14329
"1051","gnrc69",18,7,2,5086,284,2411
"1052","JIBEC",18,138,2,3291,343,77695
"1053","Letitbe133",18,1,2,29,0,1
"1054","Linfection",18,0,1,21,3,7
"1055","MarieR13",18,0,1,40,0,12
"1056","Mathieu S",18,0,1,67,0,89
"1057","Med",18,0,1,2736,15,6637
"1058","NamsNugax",18,3,2,21,0,20
"1059","osm191639",18,0,1,290,1,2961
"1060","Roadrenner",18,0,1,20,1,118
"1061","Sebastien Dinot",18,1479,5,2089,776,69839
"1062","semigradsky",18,0,1,18,0,16
"1063","SiB",18,2192,2,61,5,115997
"1064","Thomas KUNTZ",18,12,3,69,0,52
"1065","aeofij",17,0,1,59,0,12
"1066","asmoth360",17,0,1,57,5,15
"1067","Barnabatoule",17,0,1,18,0,3
"1068","Cathy25",17,0,1,27,0,4
"1069","citron-bleu",17,0,1,86,1,4230
"1070","Corleca",17,124,2,373,4,24
"1071","École Joppet",17,435,2,28,0,4
"1072","factis",17,0,1,48,8,171
"1073","frosm",17,223,3,6126,489,8567
"1074","lebansais",17,23,6,21,0,4
"1075","mairieivry",17,711,3,155,21,104
"1076","marion64",17,0,1,18,0,0
"1077","mexog",17,999,4,81,29,570
"1078","mobik2",17,24,6,22,0,3
"1079","morpfr",17,1,2,101,11,85
"1080","phyt",17,411,6,82,42,125
"1081","Prenol",17,498,3,948,178,311
"1082","Raymond",17,1224,3,477,23,275
"1083","SkedHeol",17,0,1,180,0,17769
"1084","Stephixus",17,315,4,1307,139,4743
"1085","Thomas8122",17,219,2,52,4,516
"1086","tubalpes",17,607,5,344,38,1591
"1087","val_g",17,0,1,17,0,0
"1088","vanagaudi",17,25,7,581,492,969
"1089","vanessa748",17,0,1,28,0,7
"1090","_URUS",16,10,2,438,170,341
"1091","Amargein",16,672,2,447,1,41071
"1092","bbrice8",16,608,4,218,22,188
"1093","BenedicteSchmitt",16,8,2,24,0,1
"1094","Bergeot",16,355,3,2068,110,11926
"1095","catweazle69514",16,0,1,39,4,524
"1096","Dani CS",16,310,11,737,96,421
"1097","Diec",16,7,2,93,26,2152
"1098","Einhorn-a",16,0,1,16,0,10
"1099","jcnouveau",16,407,3,76,2,237
"1100","Karmagnu",16,225,7,3987,1027,206
"1101","mbyte",16,0,1,27,0,27
"1102","mueschel",16,558,10,876,157,1194
"1103","nbossard",16,240,2,476,22,645
"1104","rakudave",16,572,5,727,7,2682
"1105","ruboqif",16,4,3,83,22,24
"1106","tjjh",16,182,4,28,6,1091
"1107","yvand",16,2,2,107,3,20
"1108","Расслабон",16,0,1,22,2,1
"1109","aleene",15,879,6,1225,35,1326
"1110","Ben Suttor",15,1759,4,42,24,345
"1111","Borderline6",15,991,6,165,0,37
"1112","Damouns",15,2248,6,8542,1471,34860
"1113","dddos",15,398,2,33,60,31
"1114","Emmanuelc",15,1124,4,142,1,81
"1115","espritboudha",15,0,1,35,0,5
"1116","franfran94",15,274,2,20,1,13
"1117","Guillaume Doukhan",15,0,1,44,0,5
"1118","Handshuh",15,0,1,15,0,2
"1119","Hiwelo",15,1,2,48,0,2
"1120","isaz",15,0,1,15,0,0
"1121","j-e-d",15,0,1,126,0,14
"1122","JeanFred",15,0,1,134,32,85
"1123","jfnif",15,250,3,57656,1300,45729
"1124","johnparis",15,1459,9,25899,2782,904
"1125","L'imaginaire",15,4,3,136,31,208
"1126","Leovilok",15,0,1,38,0,14
"1127","Maps Tester",15,0,1,16,0,7
"1128","nenebale",15,0,1,22,0,11
"1129","osm21",15,0,1,15,0,76
"1130","ROJLP",15,1671,4,862,11,3538
"1131","Schrubbel",15,40,4,41,0,298
"1132","stpo340x",15,11,5,383,1,217
"1133","Themaire",15,0,1,20,0,189
"1134","YannC",15,36,2,142,35,43
"1135","ysculo",15,6,2,486,0,175
"1136","Allan Christiansen",14,4,2,25,3,41
"1137","AppLeVV",14,73,2,31,16,300
"1138","Aubanel",14,78,4,185,11,1104
"1139","baptistegmt",14,0,1,21,0,6
"1140","belgavox",14,940,2,201,24,10666
"1141","BIPBOP",14,3,2,39,1,131
"1142","ChristophZ",14,0,1,22,0,19
"1143","contributmwr",14,5,2,1004,0,18
"1144","cypriend",14,374,4,806,14,137
"1145","Daniel Besnard",14,0,1,28,0,12
"1146","david2n",14,0,1,38,9,105
"1147","defuneste",14,0,1,14,0,0
"1148","Dreagon",14,1,2,37,1,14
"1149","Dyserth",14,0,1,17,3,174
"1150","Goazoures85",14,443,3,362,5,121
"1151","guillaume DK",14,0,1,20,0,3
"1152","hdegooijer",14,0,1,19,0,4
"1153","HelenePETIT",14,1387,6,2468,551,29225
"1154","Jorisbo",14,16,2,29,4,199
"1155","Leptitmouton",14,0,1,4368,931,2232
"1156","LLM",14,1190,5,110,6,230
"1157","marckl",14,0,1,4480,55,8155
"1158","Maxime W",14,0,1,126,110,118
"1159","polkichou",14,0,1,14,0,0
"1160","tlrx",14,644,8,582,4,2646
"1161","@rthy",13,16,2,180,2,402
"1162","abeillerieuse",13,8,3,22,4,141
"1163","Alexb60",13,0,1,2749,2502,1394
"1164","bazgal",13,1,2,9767,1234,2772
"1165","cyrille caudroy",13,0,1,17,0,0
"1166","Dagou",13,555,3,458,59,458
"1167","Démocratie & Participation Rodez",13,8,4,41,0,13
"1168","DonKanet",13,0,1,107,0,382
"1169","Esperanza36",13,124,2,4141,196,156388
"1170","franz_k",13,0,1,62,0,3941
"1171","gatienbataille",13,342,5,19,1,49
"1172","Geodoan",13,469,3,50,3,97
"1173","Guixovitch",13,24,4,148,0,89
"1174","Hervé blorec",13,4,4,2623,16,333
"1175","Huglu96",13,0,1,986,31,16488
"1176","Jeremy G",13,1636,2,48,1,14
"1177","Jérémy Nicvert",13,1467,12,89,38,2348
"1178","JoWeMap",13,0,1,26,0,8
"1179","Laurent CHOISIE",13,163,3,1230,379,357
"1180","Luque",13,2267,4,4579,121,69848
"1181","Metaltyty",13,154,3,2198,346,1178
"1182","Mickey86",13,1507,4,5586,108,13516
"1183","Minie-Mini",13,12,2,54,44,756
"1184","seyvy",13,0,1,21,0,65
"1185","Sophie E",13,0,1,16,0,3
"1186","Theo BRESOLIN",13,0,1,13,0,4
"1187","voyageant",13,255,2,824,39,384
"1188","Weasel-Wiesel",13,0,1,26,0,5
"1189","xybot",13,176,2,1518,36,3021
"1190","aetius",12,0,1,937,163,164
"1191","antonbundle",12,0,1,38,10,10
"1192","Batisteo",12,0,1,138,2,32783
"1193","bollee23",12,0,1,14,0,0
"1194","deubeuliou",12,116,2,50,2,137
"1195","dino",12,2541,7,2331,26,2936
"1196","Djam",12,2554,6,876,104,1469
"1197","EdAllen",12,0,1,127,9,226
"1198","fjoffrion",12,0,1,13,0,1
"1199","FrankVD",12,14,2,278,47,1523
"1200","FvGordon",12,1855,11,1930,1325,8169
"1201","hawkwig",12,441,2,83,49,86
"1202","jcp41",12,0,1,106,5,1832
"1203","Jean Paul K",12,0,1,14,0,4
"1204","Jerome_",12,1256,2,140,37,154
"1205","Kannfey",12,0,1,33,0,6
"1206","keigan160",12,414,2,51,3,247
"1207","Lambig",12,0,1,104,5,67
"1208","Le Rahmi",12,0,1,15,0,4
"1209","loicuv",12,0,1,110,2,147
"1210","Manosque Verdon",12,203,6,3908,159,10851
"1211","Marie-Julie",12,0,1,26,1,2
"1212","Mercator",12,1424,3,1020,29,1777
"1213","mickael37",12,378,2,33,1,32
"1214","MrCasimir",12,57,2,30,0,8
